02-2012	7.230769230769231
02-2013	7.2
02-2010	7.851851851851852
02-2011	9.785714285714286
03-2013	10.741935483870968
03-2010	13.133333333333333
03-2012	18.548387096774192
03-2011	13.741935483870968
02-2003	9.278571428571428
02-2004	10.41034482758621
02-2005	9.146428571428572
02-2006	8.903571428571428
02-2000	12.344444444444441
02-2001	12.164285714285715
02-2002	11.839285714285717
02-2007	11.878571428571425
02-2008	11.596551724137932
02-2009	9.37037037037037
03-2009	14.566666666666666
03-2008	16.51290322580645
03-2007	16.551612903225802
03-2006	13.961290322580643
03-2005	15.361290322580643
03-2004	13.670967741935485
03-2003	17.33225806451613
03-2002	18.138709677419357
03-2001	15.477419354838712
03-2000	17.374193548387098
04-2012	16.733333333333334
04-2013	17.633333333333333
06-2011	26.1
06-2010	27.0
04-2010	19.233333333333334
06-2013	27.344827586206897
04-2011	22.366666666666667
06-2012	28.233333333333334
07-2008	29.516129032258064
07-2009	30.903225806451612
07-2006	32.71290322580646
07-2007	31.912903225806453
08-2010	27.93548387096774
05-2003	27.56129032258065
07-2004	31.27096774193548
08-2011	31.096774193548388
05-2002	22.98
07-2005	31.2516129032258
05-2001	25.206451612903226
07-2002	30.106451612903225
05-2000	26.3741935483871
07-2003	32.035483870967745
05-2007	25.16774193548387
07-2000	30.090322580645157
05-2006	23.99677419354839
07-2001	31.190322580645155
08-2012	31.806451612903224
05-2005	25.541935483870965
08-2013	29.225806451612904
05-2004	23.561290322580643
05-2009	26.64516129032258
05-2008	23.75161290322581
12-2005	6.216129032258064
04-2003	18.506666666666668
12-2004	9.148387096774194
08-2009	31.677419354838708
04-2004	19.09333333333333
12-2007	7.8451612903225785
04-2001	18.45666666666667
12-2006	9.329032258064515
04-2002	19.10666666666667
12-2001	6.93548387096774
06-2002	29.18846153846153
12-2000	9.058064516129033
04-2000	19.240000000000002
06-2001	28.78000000000001
12-2003	9.490322580645161
06-2000	29.969999999999995
12-2002	7.519354838709678
06-2006	29.269999999999996
06-2005	30.04
04-2009	19.266666666666666
06-2004	30.30333333333333
06-2003	33.04333333333334
12-2009	6.0
04-2007	23.84666666666667
12-2008	6.379310344827586
04-2008	18.316666666666666
06-2009	29.533333333333335
04-2005	17.586666666666666
06-2008	27.033333333333335
04-2006	19.796666666666667
06-2007	27.790000000000006
05-2010	21.93548387096774
07-2013	30.741935483870968
05-2012	23.096774193548388
05-2011	25.64516129032258
08-2000	30.55483870967742
05-2013	21.06451612903226
11-2012	13.066666666666666
10-2013	17.70967741935484
08-2001	32.38387096774194
11-2013	12.2
08-2002	28.69032258064517
07-2010	31.096774193548388
08-2003	35.28709677419354
07-2011	28.096774193548388
12-2010	4.25
08-2004	30.783870967741933
07-2012	30.516129032258064
08-2005	28.66774193548387
08-2006	27.416129032258066
08-2007	28.59333333333334
08-2008	29.70967741935484
11-2011	11.166666666666666
10-2012	18.516129032258064
12-2013	8.379310344827585
11-2010	10.8
10-2011	19.322580645161292
12-2012	6.416666666666667
10-2010	16.1
12-2011	8.714285714285714
09-2010	23.533333333333335
01-2013	6.275862068965517
01-2012	7.333333333333333
01-2011	4.714285714285714
09-2013	24.96551724137931
09-2011	27.379310344827587
09-2012	24.5
11-2009	11.833333333333334
11-2007	13.076666666666666
10-2008	20.225806451612904
11-2008	12.833333333333334
10-2009	19.533333333333335
11-2005	14.408333333333331
10-2006	20.65806451612903
11-2006	14.376666666666665
10-2007	19.864516129032264
11-2003	12.453571428571433
10-2004	19.299999999999997
11-2004	13.700000000000005
10-2005	19.164516129032258
11-2001	11.599999999999998
10-2002	19.44516129032258
11-2002	13.129999999999999
10-2003	17.677419354838708
01-2005	8.016129032258064
01-2004	7.838709677419355
11-2000	12.153333333333334
10-2001	21.4741935483871
01-2007	9.738709677419358
10-2000	18.90322580645161
01-2006	6.716129032258063
01-2001	7.283870967741937
01-2000	8.629032258064516
01-2003	7.358064516129032
01-2002	7.3419354838709685
09-2000	27.003333333333337
09-2001	23.73666666666666
09-2002	24.383333333333336
09-2003	26.433333333333337
09-2004	26.51333333333334
01-2009	4.32
09-2005	26.066666666666674
01-2008	8.538709677419355
09-2006	26.58666666666667
09-2007	24.636666666666667
09-2009	27.066666666666666
09-2008	23.933333333333334
01-2010	5.481481481481482
